Image,PSNR,SSIM
Image_1,20.177187808587966,0.2714833280978021
Image_2,20.200782911972958,0.2969232386577342
Image_3,19.436572814623332,0.1988579518532156
Image_4,20.30451883328091,0.2948384015739176
Image_5,20.371864220717903,0.2769912565922265
Image_6,20.052171615066637,0.27515089105678064
Image_7,20.694625539920317,0.3404554812262365
Image_8,19.695043580438156,0.21683311270162
Image_9,19.62096520268584,0.1924565658915257
Image_10,19.770401386550656,0.21798144335873035
Average,20.032413391384466,0.2581971671009789
